service_id,service_name,common_name,action_name,service_link,department_id,department_name,is_new,service_type,is_active,is_paid_service,service_desc,how_to_apply,eligibility_criteria,required_doc
1,Search - Application Status of Kanyasree Prakalpa,Kanyashree Prakalpa,Search - Application Status of Kanyasree Prakalpa,https://wbkanyashree.gov.in/kp_track_status.php,39,Women & Child Development and Social Welfare Department,0,F,1,f,It is a conditional cash transfer scheme with the aim of improving the status and well-being of the girl child. ,"Collect the application form from the institution you are studying in, open a bank account in your name (if not already), fill up the application form, submit the necessary documents, and collect the acknowledgment receipt.  ","All girl residents of West Bengal enrolled and regularly attending an educational institution; They must be unmarried from families whose total income is not more than Rs. 1,20,000 annually. "," Birth certificate, a statement declaring that you are unmarried, income statement."
2,Application for Aikyasree Scholarship,Scholarship,Apply - Aikyasree Scholarship Application,https://wbmdfcscholarship.in/server/choose_server?dect_re=/students/student_registration25,24,Minority Affairs & Madrasah Education Department,0,F,1,f,"Aikyashree is a scholarship programme under WBMDFC (West Bengal Minority Development and Finance Corporation), which is intended to support deserving students (at both school and college level) of West Bengal. Aikyashree Scholarship programme is operated by the Government of West Bengal and its subsidiary boards, who provide financial assistance to exemplary, worthy and impoverished students of the state to help them continue their higher studies.","Visit the WBMDFC Aikyashree Scholarship website, wbmdfcscholarship.org and New Registration or Student Registration button available on the website. Then fill the Student Registration form by providing your Name, District, Guardians Name, DOB, Mobile Number, Email and Bank Account Number.",Applicant must be a domicile of West Bengal. Must be studying in a School/ Institution recognized by an educational Board/ Council/ University of the State/ Central Government. Must have secured not less than 50% marks or equivalent grade in the previous final examination.,"Community Certificate (Attested by self if over 18, parent/guardian if under 18). The final examination certificate (self-attested). Aadhar card or a bank passbook are also acceptable forms of identification. Proof of Residence or Domicile."
4,Application for Income Certificates,eDistrict,Apply - Income Certificates,/edist/income-cert,26,Home & Hill Affairs Department,0,F,1,f,Income certificate is an essential legal document which serves as a proof of an individual annual income earned from all sources.,"Online, via edistrict.wb.gov.in",Any individual who is employed and a resident of West Bengal state is eligible to apply for an income certificate in West Bengal.,"1.Residential Proof: Residential Certificate issued by S.D.O/Aadhar card/Passport/Driving Licence/Ration Card/Government identity card/Defense identity card/PAN Card. 2.Income Proof: Salary certificate, Income proof from Gram Pradhan/Municipality Councilor, income tax return acknowledgement. 3.Photograph: Applicant passport size photograph."
6,Caste Certificate,Backward Class Services,Apply - Caste Certificate,https://castcertificatewb.gov.in/application,4,Backward Classes Welfare Department,0,F,1,f,The BCW Department issues the caste certificate to provide the benefit of reservation to the citizen of WB.,"","The criteria for application are updated by the department from time to time, therefore, it is recommended to visit the official website of the department for detail."," Some standard documents like photo identity, address proof, and other names and addresses of the two referees are required. For more detail, visit the official website."
10,Apply - Online Application for WBPRB,Recruitment ,Apply - Online Application for WBPRB,http://wbpolice.gov.in/wbp/common/WBP_RecruitmentNew.aspx,15,Home & Hill Affairs Department,0,P,1,t,To provide a platform where citizens of West Bengal can apply for West Bengal Police Service,Online via wbprb.applythrunet.co.in,Any individual above 18 years of age who is a resident of West Bengal,a. Age proof b. Marksheets c. Address proof d. Photograph
17,Apply - Passport Applications,Passport,Apply - Passport Applications,https://portal2.passportindia.gov.in/AppOnlineProject/welcomeLink#,15,Home & Hill Affairs Department,0,P,1,t,To provide passport to Indian citizens,Online via portal2.passportindia.gov.in,Any individual of Indian nationality,i. Address proof ii. Date of birth proof iii. Last qualification
22,Apply - Land Revenue (Khajna),Property,Apply - Land Revenue (Khajna),https://banglarbhumi.gov.in/BanglarBhumi/Home.action,20,Land & Land Reforms and Refugee Relief & Rehabilitation,0,P,1,t,"To enable citizens to pay land revenue (Khazna )
online on the basis of self declaration and last paid revenue receipt
","First, the Raiyat has to
submit an online application for Land Revenue (Khazna) in Citizen Services menu of
banglarbhumi and submit revenue deposition details of his/her family . Then fees
will be calculated and an application can be generated, downloaded and printed. Then
online fees can be paid through GRIPS . 
","Recorded & unrecorded raiyat
of West Bengal.
","Last paid revenue (khazna) receipt (scanned copy
as pdf) , Record of Rights (Khatian) in case of recorded raiyat and registered deed in
case of unrecorded raiyat. 
"
63,Apply - Bangla Shasya Bima,Bangla Shasya Bima,Apply - Bangla Shasya Bima,https://banglashasyabima.net/,2,Agriculture Department,0,F,1,f,"""The Shashya Bima Registration & Data upload aims to facilitate enrolment of farmers under BSB
scheme and modification of uploaded data/information.""
","Farmers cultivating notified crops in the notified area will apply through a specified format supplied by the IA or through BSB app with the help of personnel of Insurance Company which is the Implementing Agency (IA) for the scheme.
","""1.  All farmers cultivating notified crops in the notified area
2. Enrolment should be completed as per notified seasonality discipline""
","""1. Copy of current EPIC
2.  land possession document like Khatian/Porcha/Patta/Deed for land owners
3.  land possession certificate to be issued by GP Pradhan for non-owner cultivator
4. Sowing certificate issued by Assistant Director of Agriculture and proof of bank account.""
"
64,Search - Bangla Shasya Bima,Bangla Shasya Bima,Search - Bangla Shasya Bima,https://banglashasyabima.net/farmer_corner,2,Agriculture Department,0,I,1,f,This service provides proof of crop insurance and facilitate institutional finance from banks/PACS to farmers cultivating notified crops in the notified area,It is a proof of insurance coverage of notified crops in the notified area,Enrolment of farmers under the BSB Scheme with necessary documents,Valid EPIC
69,Apply - Krishak Bandhu Scheme,Krishak Bandhu Scheme,Apply - Krishak Bandhu Scheme,https://krishakbandhu.wb.gov.in/kb_forms/new,2,Agriculture Department,0,I,1,f,"The Krishak Bandhu Scheme caters to the farming community by means of assured continuous income and insurance coverage. The Krishak Bandhu Assured Income Scheme seeks to provide the farmers with a financial assistance of Rs. 10,000 per year (5,000 per acre in two instalments). Moreover, a one-time grant of Rs. 2 lakhs would be provided to the dependents of the farmers under the Krishak Bandhu Death Benefit Scheme (for which the farmers need not pay any premiums).","The application process may be initiated by visiting the Agricultural Department of the West-Bengal. In the home page of the website, the ‘Krishak Bandhu’ tab must be opted. The user may now click on the ‘Sign In’ option. By clicking on the link suggested in the following page, the screen login window will be displayed on the screen. Now, the signup option must be clicked on, after which the user will be directed to the online registration form. The form may be submitted after specifying the required details. The application form must be supported with the attachment of the essential documents. The registration would be complete after the applicant submits the form. The username and password will be sent to the candidates, through which they can log in to the scheme and access its features.","In the event of the death of any farmer or a recorded Bhagchasi (Share Cropper) in the age group of 18 – 60 years, the legal heir of the deceased will be eligible to get a one-time grant of Rs. 2,00,000/- (Rupees two lakhs only)","Copy of identity proof, copy of residential proof, copy of age proof, Registration certificate of the agricultural laborers, Proof of bank account."
